,MRIPDFF,rf,env,log,den,phase,phase2,rf,env,log,den,phase,phase2,,,,,,,,,,,,,,,,,,,,,,,
136,2.45,2.369019535,2.787614253,6.890619924,6.075577684,3.367626979,4.925306064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2.45,2.357660099,2.93141291,6.876286135,6.048033181,3.347374551,4.973804741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,3.2,2.470889021,3.509970263,6.65832158,5.977950061,3.467151345,4.971822307,3.2,2.100824355,2.525550373,6.610139516,5.814784286,3.329394498,,,,,,,,,,,,,,,,,,,,,,,
139,3.2,2.126029248,2.475110134,6.467908152,5.781170027,3.461034515,4.897037593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,3.2,2.211267426,2.598518263,6.50334033,5.80843976,3.464260103,4.938537475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,3.2,2.100531463,2.452251665,6.766105935,5.908250861,3.336960007,5.025861306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,3.2,1.940713187,2.189814725,6.688630697,5.771670512,3.291011699,5.000178645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,3.2,2.102431135,2.450760854,6.747969072,5.899015253,3.306062777,4.969117399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,3.2,1.753909006,2.002426705,6.438700846,5.556993524,2.979281043,4.700280205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,3.8499999,2.836074871,3.496431166,6.583193899,5.968432786,3.466769804,5.024024462,3.8499999,2.671349074,3.386696133,6.732381748,6.039295104,3.428133434,,,,,,,,,,,,,,,,,,,,,,,
146,3.8499999,2.616951424,3.149438174,6.612752161,5.993185083,3.471694885,5.00504853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,3.8499999,2.785577448,3.479398456,6.652249953,6.092471408,3.462083226,4.942756654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,3.8499999,2.760002468,3.417239871,6.635453857,6.086057152,3.466796811,4.970445304,,,,,,,,,Entropy (RF),0.91,0.868,0.81,0.862666667,3,3.114,3.114,,0.778,0.727,0.75,0.751666667,1,0.9,0.826,0.908666667,0.871,0.839,0.806,0.838666667
149,3.8499999,2.474625316,3.173726419,6.882060413,6.016605865,3.374159114,4.975418686,,,,,,,,,Entropy (ENV),0.889,0.859,0.804,0.850666667,4.096,4.112,,3.746,0.778,0.818,0.875,0.823666667,1,0.8,0.609,0.803,0.871,0.806,0.677,0.784666667
150,3.8499999,2.581533387,3.510790072,6.877559129,6.059507116,3.378309618,4.951301202,,,,,,,,,Entropy (LOG),0.897,0.868,0.8201,0.8617,6.78,6.803,,6.83,0.889,0.901,0.875,0.888333333,0.769,0.8,0.696,0.755,0.839,0.839,0.742,0.806666667
151,3.8499999,2.644678603,3.479848776,6.883402827,6.058806317,3.377120584,4.97296751,,,,,,,,,Entropy (DEN),0.885,0.832,0.771,0.829333333,6.225,6.282,,6.347,0.722,0.727,0.625,0.691333333,0.923,0.85,0.913,0.895333333,0.806,0.806,0.839,0.817
152,4.8000002,3.430419681,4.53258756,6.835144379,6.379133913,3.462676413,4.960618583,4.8000002,2.823935959,3.601111425,6.844376945,6.20416293,3.447105423,,,Entropy (CARRIER),0.859,0.978,0.918,0.918333333,3.449,3.461,,3.461,0.833,0.909,0.875,0.872333333,1,0.95,0.87,0.94,0.903,0.935,0.871,0.903
153,4.8000002,3.214908776,4.596773033,6.835414781,6.321443584,3.466454629,4.85376745,,,,,,,,,Entropy (PHASE),0.444,0.627,0.598,0.556333333,4.934,4.946,,4.951,0.833,0.909,0.75,0.830666667,0.308,0.4,0.478,0.395333333,0.613,0.581,0.548,0.580666667
154,4.8000002,3.447717261,4.580601877,6.82228541,6.442697568,3.471675681,4.880033226,,,,,,,,,Entropy (Clinical B-mode),0.722,0.582,0.565,0.623,3.095,3.095,3.095,0.833,0.909,0.875,0.872333333,0.615,0.5,0.434,0.516333333,0.742,0.645,0.548,0.645,
155,4.8000002,2.229448525,2.513866929,6.7703295,5.879725031,3.414529663,4.936017654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,4.8000002,2.21895763,2.464362792,6.832951464,6.003256223,3.435350412,4.935856421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,4.8000002,2.402163882,2.918476361,6.970136137,6.198721258,3.431945741,4.968644838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,31.799999,3.329641121,4.264311493,6.80856243,6.236355312,3.471418371,4.838217453,31.799999,2.818910937,3.47821387,6.830859345,6.131220464,3.466831832,,,,,,,,,,,,,,,,,,,,,,,
